# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-8/TRENT1000-CE,400,15,167
787-8/TRENT1000-CE,400,20,167
787-8/TRENT1000-CE,400,25,150
787-8/TRENT1000-CE,400,30,147
787-8/TRENT1000-CE,380,UP,223
787-8/TRENT1000-CE,380,1,199
787-8/TRENT1000-CE,380,5,183
787-8/TRENT1000-CE,380,15,163
787-8/TRENT1000-CE,380,20,163
787-8/TRENT1000-CE,380,25,146
787-8/TRENT1000-CE,380,30,143
787-8/TRENT1000-CE,360,UP,221
787-8/TRENT1000-CE,360,1,196
787-8/TRENT1000-CE,360,5,181
787-8/TRENT1000-CE,360,15,161
787-8/TRENT1000-CE,360,20,161
787-8/TRENT1000-CE,360,25,144
787-8/TRENT1000-CE,360,30,140
787-8/TRENT1000-CE,340,UP,217
787-8/TRENT1000-CE,340,1,192
787-8/TRENT1000-CE,340,5,177
787-8/TRENT1000-CE,340,15,157
787-8/TRENT1000-CE,340,20,157
787-8/TRENT1000-CE,340,25,139
787-8/TRENT1000-CE,340,30,136
787-8/TRENT1000-CE,320,UP,213
787-8/TRENT1000-CE,320,1,188
787-8/TRENT1000-CE,320,5,173
787-8/TRENT1000-CE,320,15,153
787-8/TRENT1000-CE,320,20,153
787-8/TRENT1000-CE,320,25,135
787-8/TRENT1000-CE,320,30,132
787-8/TRENT1000-CE,300,UP,209
787-8/TRENT1000-CE,300,1,184
787-8/TRENT1000-CE,300,5,169
787-8/TRENT1000-CE,300,15,149
787-8/TRENT1000-CE,300,20,149
787-8/TRENT1000-CE,300,25,131
787-8/TRENT1000-CE,300,30,128
787-8/TRENT1000-CE,280,UP,205
787-8/TRENT1000-CE,280,1,180
787-8/TRENT1000-CE,280,5,165
787-8/TRENT1000-CE,280,15,145
787-8/TRENT1000-CE,280,20,145
787-8/TRENT1000-CE,280,25,126
787-8/TRENT1000-CE,280,30,124
787-8/TRENT1000-CE,260,UP,201
787-8/TRENT1000-CE,260,1,176
787-8/TRENT1000-CE,260,5,161
