# ANA B787 AOM PI.20.26  Flap Maneuver Speed  /  Sea Level Pressure Altitude
"# Effect. DEC 16, 2024  Rev.34   All Engines   speeds in KIAS"
# Flaps 25 maneuver speed based on VREF25 / Flaps 30 maneuver speed based on VREF30
# NOTE: 787-10 shows UP=234 at BOTH 440 and 420 (as printed; verify against original)
VARIANT,WEIGHT_1000LB,FLAP,KIAS
787-9/TRENT1000-D,380,UP,224
787-9/TRENT1000-D,380,1,202
787-9/TRENT1000-D,380,5,184
787-9/TRENT1000-D,380,10,169
787-9/TRENT1000-D,380,15/17/18,164
787-9/TRENT1000-D,380,20,159
787-9/TRENT1000-D,380,25,149
787-9/TRENT1000-D,380,30,144
787-9/TRENT1000-D,360,UP,220
787-9/TRENT1000-D,360,1,196
787-9/TRENT1000-D,360,5,180
787-9/TRENT1000-D,360,10,165
787-9/TRENT1000-D,360,15/17/18,160
787-9/TRENT1000-D,360,20,155
787-9/TRENT1000-D,360,25,145
787-9/TRENT1000-D,360,30,140
787-9/TRENT1000-D,340,UP,216
787-9/TRENT1000-D,340,1,191
787-9/TRENT1000-D,340,5,176
787-9/TRENT1000-D,340,10,161
787-9/TRENT1000-D,340,15/17/18,156
787-9/TRENT1000-D,340,20,151
787-9/TRENT1000-D,340,25,141
787-9/TRENT1000-D,340,30,136
787-9/TRENT1000-D,320,UP,212
787-9/TRENT1000-D,320,1,187
787-9/TRENT1000-D,320,5,172
787-9/TRENT1000-D,320,10,157
787-9/TRENT1000-D,320,15/17/18,152
787-9/TRENT1000-D,320,20,147
787-9/TRENT1000-D,320,25,136
787-9/TRENT1000-D,320,30,132
787-9/TRENT1000-D,300,UP,208
787-9/TRENT1000-D,300,1,183
787-9/TRENT1000-D,300,5,168
787-9/TRENT1000-D,300,10,153
787-9/TRENT1000-D,300,15/17/18,148
787-9/TRENT1000-D,300,20,143
787-9/TRENT1000-D,300,25,132
787-9/TRENT1000-D,300,30,127
787-9/TRENT1000-D,280,UP,205
787-9/TRENT1000-D,280,1,180
787-9/TRENT1000-D,280,5,165
787-9/TRENT1000-D,280,10,150
787-9/TRENT1000-D,280,15/17/18,145
787-9/TRENT1000-D,280,20,139
787-9/TRENT1000-D,280,25,127
787-9/TRENT1000-D,280,30,124
787-9/GENX-1B64,500,UP,253
787-9/GENX-1B64,500,1,231
787-9/GENX-1B64,500,5,205
787-9/GENX-1B64,500,10,191
787-9/GENX-1B64,500,15/17/18,186
787-9/GENX-1B64,500,20,181
787-9/GENX-1B64,500,25,171
787-9/GENX-1B64,500,30,166
787-9/GENX-1B64,480,UP,249
787-9/GENX-1B64,480,1,227
787-9/GENX-1B64,480,5,202
787-9/GENX-1B64,480,10,187
787-9/GENX-1B64,480,15/17/18,182
787-9/GENX-1B64,480,20,177
787-9/GENX-1B64,480,25,168
787-9/GENX-1B64,480,30,162
787-9/GENX-1B64,460,UP,244
787-9/GENX-1B64,460,1,222
787-9/GENX-1B64,460,5,199
787-9/GENX-1B64,460,10,184
787-9/GENX-1B64,460,15/17/18,179
787-9/GENX-1B64,460,20,174
787-9/GENX-1B64,460,25,164
787-9/GENX-1B64,460,30,159
787-9/GENX-1B64,440,UP,239
787-9/GENX-1B64,440,1,217
787-9/GENX-1B64,440,5,195
787-9/GENX-1B64,440,10,180
787-9/GENX-1B64,440,15/17/18,175
787-9/GENX-1B64,440,20,170
787-9/GENX-1B64,440,25,160
787-9/GENX-1B64,440,30,155
787-9/GENX-1B64,420,UP,232
787-9/GENX-1B64,420,1,212
787-9/GENX-1B64,420,5,192
787-9/GENX-1B64,420,10,177
787-9/GENX-1B64,420,15/17/18,172
787-9/GENX-1B64,420,20,166
787-9/GENX-1B64,420,25,157
787-9/GENX-1B64,420,30,151
787-9/GENX-1B64,400,UP,228
787-9/GENX-1B64,400,1,207
787-9/GENX-1B64,400,5,188
787-9/GENX-1B64,400,10,173
787-9/GENX-1B64,400,15/17/18,168
787-9/GENX-1B64,400,20,163
787-9/GENX-1B64,400,25,153
787-9/GENX-1B64,400,30,148
787-9/GENX-1B64,380,UP,224
787-9/GENX-1B64,380,1,202
787-9/GENX-1B64,380,5,184
787-9/GENX-1B64,380,10,169
787-9/GENX-1B64,380,15/17/18,164
787-9/GENX-1B64,380,20,159
787-9/GENX-1B64,380,25,149
787-9/GENX-1B64,380,30,144
787-9/GENX-1B64,360,UP,220
787-9/GENX-1B64,360,1,196
787-9/GENX-1B64,360,5,180
787-9/GENX-1B64,360,10,165
787-9/GENX-1B64,360,15/17/18,160
787-9/GENX-1B64,360,20,155
787-9/GENX-1B64,360,25,145
787-9/GENX-1B64,360,30,140
787-9/GENX-1B64,340,UP,216
787-9/GENX-1B64,340,1,191
787-9/GENX-1B64,340,5,176
787-9/GENX-1B64,340,10,161
787-9/GENX-1B64,340,15/17/18,156
787-9/GENX-1B64,340,20,151
787-9/GENX-1B64,340,25,141
787-9/GENX-1B64,340,30,136
787-9/GENX-1B64,320,UP,212
787-9/GENX-1B64,320,1,187
787-9/GENX-1B64,320,5,172
787-9/GENX-1B64,320,10,157
787-9/GENX-1B64,320,15/17/18,152
787-9/GENX-1B64,320,20,147
787-9/GENX-1B64,320,25,136
787-9/GENX-1B64,320,30,132
787-9/GENX-1B64,300,UP,208
787-9/GENX-1B64,300,1,183
787-9/GENX-1B64,300,5,168
787-9/GENX-1B64,300,10,153
787-9/GENX-1B64,300,15/17/18,148
787-9/GENX-1B64,300,20,143
787-9/GENX-1B64,300,25,132
787-9/GENX-1B64,300,30,127
787-9/GENX-1B64,280,UP,205
787-9/GENX-1B64,280,1,180
787-9/GENX-1B64,280,5,165
787-9/GENX-1B64,280,10,150
787-9/GENX-1B64,280,15/17/18,145
787-9/GENX-1B64,280,20,139
787-9/GENX-1B64,280,25,127
787-9/GENX-1B64,280,30,124
787-10/TRENT1000-K,560,UP,253
787-10/TRENT1000-K,560,1,238
787-10/TRENT1000-K,560,5,208
787-10/TRENT1000-K,560,10,198
787-10/TRENT1000-K,560,15/17/18,193
787-10/TRENT1000-K,560,20,186
787-10/TRENT1000-K,560,25,177
787-10/TRENT1000-K,560,30,172
787-10/TRENT1000-K,540,UP,253
787-10/TRENT1000-K,540,1,238
787-10/TRENT1000-K,540,5,208
787-10/TRENT1000-K,540,10,197
787-10/TRENT1000-K,540,15/17/18,192
787-10/TRENT1000-K,540,20,183
787-10/TRENT1000-K,540,25,173
787-10/TRENT1000-K,540,30,168
787-10/TRENT1000-K,520,UP,253
787-10/TRENT1000-K,520,1,236
787-10/TRENT1000-K,520,5,208
787-10/TRENT1000-K,520,10,194
787-10/TRENT1000-K,520,15/17/18,189
787-10/TRENT1000-K,520,20,180
787-10/TRENT1000-K,520,25,170
787-10/TRENT1000-K,520,30,165
787-10/TRENT1000-K,500,UP,251
787-10/TRENT1000-K,500,1,231
787-10/TRENT1000-K,500,5,205
787-10/TRENT1000-K,500,10,191
787-10/TRENT1000-K,500,15/17/18,186
787-10/TRENT1000-K,500,20,177
787-10/TRENT1000-K,500,25,167
787-10/TRENT1000-K,500,30,162
787-10/TRENT1000-K,480,UP,244
787-10/TRENT1000-K,480,1,226
787-10/TRENT1000-K,480,5,202
787-10/TRENT1000-K,480,10,187
787-10/TRENT1000-K,480,15/17/18,182
787-10/TRENT1000-K,480,20,174
787-10/TRENT1000-K,480,25,163
787-10/TRENT1000-K,480,30,158
787-10/TRENT1000-K,460,UP,237
787-10/TRENT1000-K,460,1,222
787-10/TRENT1000-K,460,5,199
787-10/TRENT1000-K,460,10,184
787-10/TRENT1000-K,460,15/17/18,179
787-10/TRENT1000-K,460,20,170
787-10/TRENT1000-K,460,25,160
787-10/TRENT1000-K,460,30,155
787-10/TRENT1000-K,440,UP,234
787-10/TRENT1000-K,440,1,217
787-10/TRENT1000-K,440,5,195
787-10/TRENT1000-K,440,10,180
787-10/TRENT1000-K,440,15/17/18,175
787-10/TRENT1000-K,440,20,167
787-10/TRENT1000-K,440,25,157
787-10/TRENT1000-K,440,30,152
787-10/TRENT1000-K,420,UP,234
787-10/TRENT1000-K,420,1,212
787-10/TRENT1000-K,420,5,191
787-10/TRENT1000-K,420,10,176
787-10/TRENT1000-K,420,15/17/18,171
787-10/TRENT1000-K,420,20,165
787-10/TRENT1000-K,420,25,155
787-10/TRENT1000-K,420,30,150
787-10/TRENT1000-K,400,UP,227
787-10/TRENT1000-K,400,1,207
787-10/TRENT1000-K,400,5,188
787-10/TRENT1000-K,400,10,173
787-10/TRENT1000-K,400,15/17/18,168
787-10/TRENT1000-K,400,20,162
787-10/TRENT1000-K,400,25,151
787-10/TRENT1000-K,400,30,146
787-10/TRENT1000-K,380,UP,224
787-10/TRENT1000-K,380,1,201
787-10/TRENT1000-K,380,5,184
787-10/TRENT1000-K,380,10,169
787-10/TRENT1000-K,380,15/17/18,164
787-10/TRENT1000-K,380,20,158
787-10/TRENT1000-K,380,25,147
787-10/TRENT1000-K,380,30,142
787-10/TRENT1000-K,360,UP,220
787-10/TRENT1000-K,360,1,196
787-10/TRENT1000-K,360,5,180
787-10/TRENT1000-K,360,10,165
787-10/TRENT1000-K,360,15/17/18,160
787-10/TRENT1000-K,360,20,154
787-10/TRENT1000-K,360,25,143
787-10/TRENT1000-K,360,30,138
787-10/TRENT1000-K,340,UP,216
787-10/TRENT1000-K,340,1,191
787-10/TRENT1000-K,340,5,176
787-10/TRENT1000-K,340,10,161
787-10/TRENT1000-K,340,15/17/18,156
787-10/TRENT1000-K,340,20,150
787-10/TRENT1000-K,340,25,139
787-10/TRENT1000-K,340,30,134
787-10/TRENT1000-K,320,UP,212
787-10/TRENT1000-K,320,1,186
787-10/TRENT1000-K,320,5,172
787-10/TRENT1000-K,320,10,157
787-10/TRENT1000-K,320,15/17/18,152
787-10/TRENT1000-K,320,20,146
787-10/TRENT1000-K,320,25,134
787-10/TRENT1000-K,320,30,130
787-10/TRENT1000-K,300,UP,208
787-10/TRENT1000-K,300,1,182
787-10/TRENT1000-K,300,5,168
787-10/TRENT1000-K,300,10,153
787-10/TRENT1000-K,300,15/17/18,148
787-10/TRENT1000-K,300,20,142
787-10/TRENT1000-K,300,25,130
787-10/TRENT1000-K,300,30,126
787-10/TRENT1000-K,280,UP,205
787-10/TRENT1000-K,280,1,179
787-10/TRENT1000-K,280,5,165
787-10/TRENT1000-K,280,10,149
787-10/TRENT1000-K,280,15/17/18,144
787-10/TRENT1000-K,280,20,138
787-10/TRENT1000-K,280,25,126
787-10/TRENT1000-K,280,30,123
787-10/GENX-1B67,540,UP,253
787-10/GENX-1B67,540,1,238
787-10/GENX-1B67,540,5,208
787-10/GENX-1B67,540,10,197
787-10/GENX-1B67,540,15/17/18,192
787-10/GENX-1B67,540,20,183
787-10/GENX-1B67,540,25,173
787-10/GENX-1B67,540,30,168
787-10/GENX-1B67,520,UP,253
787-10/GENX-1B67,520,1,236
787-10/GENX-1B67,520,5,208
787-10/GENX-1B67,520,10,194
787-10/GENX-1B67,520,15/17/18,189
787-10/GENX-1B67,520,20,180
787-10/GENX-1B67,520,25,170
787-10/GENX-1B67,520,30,165
787-10/GENX-1B67,500,UP,251
787-10/GENX-1B67,500,1,231
787-10/GENX-1B67,500,5,205
787-10/GENX-1B67,500,10,191
787-10/GENX-1B67,500,15/17/18,186
787-10/GENX-1B67,500,20,177
787-10/GENX-1B67,500,25,167
787-10/GENX-1B67,500,30,162
787-10/GENX-1B67,480,UP,244
787-10/GENX-1B67,480,1,226
787-10/GENX-1B67,480,5,202
787-10/GENX-1B67,480,10,187
787-10/GENX-1B67,480,15/17/18,182
787-10/GENX-1B67,480,20,174
787-10/GENX-1B67,480,25,163
787-10/GENX-1B67,480,30,158
787-10/GENX-1B67,460,UP,237
787-10/GENX-1B67,460,1,222
787-10/GENX-1B67,460,5,199
787-10/GENX-1B67,460,10,184
787-10/GENX-1B67,460,15/17/18,179
787-10/GENX-1B67,460,20,170
787-10/GENX-1B67,460,25,160
787-10/GENX-1B67,460,30,155
787-10/GENX-1B67,440,UP,234
787-10/GENX-1B67,440,1,217
787-10/GENX-1B67,440,5,195
787-10/GENX-1B67,440,10,180
787-10/GENX-1B67,440,15/17/18,175
787-10/GENX-1B67,440,20,167
787-10/GENX-1B67,440,25,157
787-10/GENX-1B67,440,30,152
787-10/GENX-1B67,420,UP,234
787-10/GENX-1B67,420,1,212
787-10/GENX-1B67,420,5,191
787-10/GENX-1B67,420,10,176
787-10/GENX-1B67,420,15/17/18,171
787-10/GENX-1B67,420,20,165
787-10/GENX-1B67,420,25,155
787-10/GENX-1B67,420,30,150
787-10/GENX-1B67,400,UP,227
787-10/GENX-1B67,400,1,207
787-10/GENX-1B67,400,5,188
787-10/GENX-1B67,400,10,173
787-10/GENX-1B67,400,15/17/18,168
787-10/GENX-1B67,400,20,162
787-10/GENX-1B67,400,25,151
787-10/GENX-1B67,400,30,146
787-10/GENX-1B67,380,UP,224
787-10/GENX-1B67,380,1,201
787-10/GENX-1B67,380,5,184
787-10/GENX-1B67,380,10,169
787-10/GENX-1B67,380,15/17/18,164
787-10/GENX-1B67,380,20,158
787-10/GENX-1B67,380,25,147
787-10/GENX-1B67,380,30,142
787-10/GENX-1B67,360,UP,220
787-10/GENX-1B67,360,1,196
787-10/GENX-1B67,360,5,180
787-10/GENX-1B67,360,10,165
787-10/GENX-1B67,360,15/17/18,160
787-10/GENX-1B67,360,20,154
787-10/GENX-1B67,360,25,143
787-10/GENX-1B67,360,30,138
787-10/GENX-1B67,340,UP,216
787-10/GENX-1B67,340,1,191
787-10/GENX-1B67,340,5,176
787-10/GENX-1B67,340,10,161
787-10/GENX-1B67,340,15/17/18,156
787-10/GENX-1B67,340,20,150
787-10/GENX-1B67,340,25,139
787-10/GENX-1B67,340,30,134
787-10/GENX-1B67,320,UP,212
787-10/GENX-1B67,320,1,186
787-10/GENX-1B67,320,5,172
787-10/GENX-1B67,320,10,157
787-10/GENX-1B67,320,15/17/18,152
787-10/GENX-1B67,320,20,146
787-10/GENX-1B67,320,25,134
787-10/GENX-1B67,320,30,130
787-10/GENX-1B67,300,UP,208
787-10/GENX-1B67,300,1,182
787-10/GENX-1B67,300,5,168
787-10/GENX-1B67,300,10,153
787-10/GENX-1B67,300,15/17/18,148
787-10/GENX-1B67,300,20,142
787-10/GENX-1B67,300,25,130
787-10/GENX-1B67,300,30,126
787-10/GENX-1B67,280,UP,205
787-10/GENX-1B67,280,1,179
787-10/GENX-1B67,280,5,165
787-10/GENX-1B67,280,10,149
787-10/GENX-1B67,280,15/17/18,144
787-10/GENX-1B67,280,20,138
787-10/GENX-1B67,280,25,126
787-10/GENX-1B67,280,30,123
